
<kupa223>,מיטב גמל אשראי ואג"ח,תגמולים ואישית לפיצויים,מתמחים בניהול אקטיבי,אשראי ואג"ח,1187.67,0.0052,0.0521,0.0284,0.0353,0.74,0.9,מיטב גמל ופנסיה בע"מ,475197.98,0.4001,350276.14,0.2949,30063.25,0.0253,0,0,0,0,71008.16,0.0598,61976.38,0.0522,48627.37,0.0409,150521.7,0.1267,945958.55,0.7965,241712.42,0.2035,878935.69,0.74,308735.28,0.26,0,0,242319.1,0.204,149376.98,0.1258,</Row>
<kupa239>,דיסקונט לפיצויים,מרכזית לפיצויים,כללי,כללי,520.61,0.0087,0.0866,0.0244,0.0539,1.82,2.21,כלל פנסיה וגמל בע"מ,95213.68,0.1829,120307.13,0.2311,3014.56,0.0058,159658.21,0.3067,928.07,0.0018,23496.79,0.0451,74010.86,0.1422,31884.06,0.0612,12100.85,0.0232,472859.26,0.9083,47754.94,0.0917,351440.09,0.675,169174.11,0.325,237556.87,0.4563,199128.67,0.3825,128535.08,0.2469,</Row>
<kupa241>,כלל פיצויים למעסיק,מרכזית לפיצויים,כללי,כללי,849.11,0.0075,0.0903,0.0316,0.0542,1.78,2.15,כלל פנסיה וגמל בע"מ,156601.42,0.1844,199188.59,0.2346,2981.99,0.0035,258178.17,0.3041,1976.27,0.0023,38067.83,0.0448,107952.67,0.1271,63487.03,0.0748,20674.17,0.0243,772509.98,0.9098,76598.16,0.0902,571866.81,0.6735,277241.33,0.3265,388513.1,0.4576,333257.88,0.3925,210737.4,0.2482,</Row>
<kupa242>,הפניקס מרכזית לפיצויים,מרכזית לפיצויים,כללי,כללי,915.41,0.0057,0.0907,0.0296,0.0553,1.93,2.36,הפניקס פנסיה וגמל בע"מ ,139775.07,0.1527,242091.87,0.2645,14315.48,0.0156,242309.84,0.2647,-2744.49,-0.003,50992.39,0.0557,167764.49,0.1833,23380.96,0.0255,37521.62,0.041,806152.59,0.8806,109254.63,0.1194,628755.47,0.6869,286651.75,0.3131,391540.89,0.4277,393876.65,0.4303,225875.22,0.2467,</Row>
<kupa260>,מנורה מבטחים אמיר כללי,תגמולים ואישית לפיצויים,כללי,כללי,456.82,0.0051,0.082,0.0355,0.0559,1.8,2.33,מנורה מבטחים פנסיה וגמל בע"מ,28520.67,0.0624,51813.92,0.1134,2319.84,0.0051,171469.26,0.3754,2401.6,0.0053,40255.68,0.0881,25266.14,0.0553,18068.9,0.0396,116699.61,0.2555,288265.2,0.631,168550.41,0.369,191822.1,0.4199,264993.51,0.5801,217541.16,0.4762,266750.48,0.5839,109075.19,0.2388,</Row>
<kupa263>,בר,תגמולים ואישית לפיצויים,כללי,כללי,4343.88,0.0025,0.0836,0.0312,0.0599,1.86,2.23,כלל פנסיה וגמל בע"מ,600972.58,0.1383,802952.04,0.1848,38245.61,0.0088,1397165.42,0.3216,6606.57,0.0015,365603.71,0.0842,160487.6,0.0369,232560.07,0.0535,739290.98,0.1702,3074855.19,0.7079,1269029.4,0.2921,2473309.36,0.5694,1870575.23,0.4306,2116956.54,0.4873,2269728.95,0.5225,1077501.97,0.2481,</Row>
<kupa384>,הפניקס מרכזית לפיצויים עד 15% מניות,מרכזית לפיצויים,כללי,כללי,144.5,0.0058,0.0528,0.0139,0.0299,1.26,1.5,הפניקס פנסיה וגמל בע"מ ,50754,0.3512,44537.89,0.3082,2441.15,0.0169,11285.58,0.0781,-111.38,-0.0008,12626.64,0.0874,13186.8,0.0913,3011.19,0.0208,6764.07,0.0468,122416.61,0.8472,22079.34,0.1528,111169.41,0.7694,33326.54,0.2306,17538.49,0.1214,33790.46,0.2338,27282.42,0.1888,</Row>
<kupa385>,הפניקס גמל אשראי ואג"ח,תגמולים ואישית לפיצויים,מתמחים בניהול אקטיבי,אשראי ואג"ח,1012.22,0.006,0.0394,0.0103,0.0211,1.02,1.18,הפניקס פנסיה וגמל בע"מ ,345732.94,0.3416,468308.63,0.4627,26451.05,0.0261,109.48,0.0001,0,0,89730.13,0.0886,33953.57,0.0335,11539.16,0.0114,36391.31,0.036,859810.99,0.8494,152405.27,0.1506,856136.44,0.8458,156079.81,0.1542,709.68,0.0007,133806.74,0.1322,103536.64,0.1023,</Row>
<kupa401>,הפניקס גמל לבני 60 ומעלה,תגמולים ואישית לפיצויים,מדרגות,60 ומעלה,8030.28,0.0062,0.0703,0.0269,0.0472,1.36,1.75,הפניקס פנסיה וגמל בע"מ ,1783501.49,0.2221,1825532.27,0.2273,114440.82,0.0143,1275779.42,0.1589,-11554.38,-0.0014,753194.11,0.0938,883848.67,0.1101,96139.63,0.012,1309396.87,0.1631,5655160.58,0.7042,2375118.31,0.2958,5522854.84,0.6878,2507424.05,0.3122,1946053.77,0.2423,3048629.44,0.3796,1584790,0.1974,</Row>
<kupa416>,הראל השתלמות אשראי ואג"ח עם מניות (עד 25% מניות) ,קרנות השתלמות,מתמחים בניהול אקטיבי,אשראי ואג"ח,3356.95,0.0055,0.0487,0.023,0.0378,0.99,1.31,הראל פנסיה וגמל בע"מ,848575.37,0.2528,811677.23,0.2418,25640.96,0.0076,244486.58,0.0728,10283.51,0.0031,611216.3,0.1821,192034.65,0.0572,79211.47,0.0236,533825.12,0.159,2076632.57,0.6186,1280318.61,0.3814,2383218.53,0.7099,973732.65,0.2901,347745.25,0.1036,1087651.01,0.324,641574.56,0.1911,</Row>
